id,name,year_established,country,description,url,has_trading_incentive,trust_score,trust_score_rank,trade_vol_24h_btc,trade_vol_24h_btc_normalized,trade_vol_24h_usd,trade_vol_24h_usd_normalized,age_of_exchange,ingested_at
binance,Binance,2017.0,Cayman Islands,,https://www.binance.com/,False,10.0,1.0,93427.46121098881,46968.471942175165,5954621662.87,2993546831.67,7.0,2024-06-23 22:50:18.517587
bybit_spot,Bybit,2018.0,British Virgin Islands,"Bybit is a cryptocurrency exchange that offers a professional platform featuring an ultra-fast matching engine, excellent customer service and multilingual community support for crypto traders of all levels. Established in March 2018, Bybit currently serves more than 10 million users and institutions offering access to over 100 assets and contracts across Spot, Futures and Options, launchpad projects, earn products, an NFT Marketplace and more. Bybit is a proud partner of Formula One racing team, Oracle Red Bull Racing, esports teams NAVI, Astralis, Alliance, Virtus.pro, Made in Brazil (MIBR), City Esports, and Oracle Red Bull Racing Esports, and association football (soccer) teams Borussia Dortmund and Avispa Fukuoka.",https://www.bybit.com,False,10.0,2.0,33481.80426277228,21823.00308108315,2133970830.32,1390894338.89,6.0,2024-06-23 22:50:18.517587
okex,OKX,2017.0,Seychelles,,https://www.okx.com,False,10.0,3.0,17105.565671613786,17105.565671613786,1090227333.42,1090227333.42,7.0,2024-06-23 22:50:18.517587
gdax,Coinbase Exchange,2012.0,United States,,https://www.coinbase.com/,False,10.0,4.0,12423.103205041742,12423.103205041742,791789464.32,791789464.32,12.0,2024-06-23 22:50:18.517587
gate,Gate.io,,Cayman Islands,"Gate was established in 2013, and it is the top 10 exchanges in the world in terms of authentic trading volume. It is also the first choice of over 8 million registered customers, covering 130+ countries worldwide, as we are providing the most comprehensive digital asset solutions.",https://www.gate.io/,False,10.0,5.0,21098.66567070517,11543.727387285497,1344728520.20,735742235.52,,2024-06-23 22:50:18.517587
kucoin,KuCoin,2017.0,Seychelles,"Launched in September 2017, KuCoin is a global cryptocurrency exchange with its operational headquarters in Seychelles. As a user-oriented platform with a focus on inclusiveness and community action reach, it offers over 800 digital assets and currently provides Spot trading, Margin trading, P2P Fiat trading, Futures trading, Staking, and Lending to its 30 million users in more than 200 countries and regions. KuCoin is currently one of the top 5 crypto exchanges. In 2023, KuCoin was named one of the Best Crypto Exchanges by Forbes and recognized as a highly commended global exchange in Finder's 2023 Global Cryptocurrency Trading Platform Awards. Learn more at https://www.kucoin.com.",https://www.kucoin.com/,False,10.0,6.0,5936.130522420715,4314.932345693157,378340703.52,275013248.64,7.0,2024-06-23 22:50:18.517587
kraken,Kraken,2011.0,United States,,https://www.kraken.com/,False,10.0,7.0,3076.3422351633167,3076.3422351633167,196071410.68,196071410.68,13.0,2024-06-23 22:50:18.517587
hashkey_exchange,HashKey Exchange,2018.0,Hong Kong,"On a mission to set the bar for virtual asset exchanges in compliance, safety, and security, Hash Blockchain Limited (HashKey Exchange) is Hong Kong's first licensed virtual asset exchange for retail users. HashKey Exchange has recently received approval from the Securities and Futures Commission (SFC) of Hong Kong to operate a virtual asset trading platform under Type 1 (Dealing in securities) licence and Type 7 (Providing automated trading services) licence. As HashKey Group's exchange business, HashKey Exchange provides all-in-one trading services for both professional investors (PI) and retail investors. HashKey Exchange has obtained ISO 27001 (Information Security) and ISO 27701 (Data Privacy) management system certifications.",https://www.hashkey.com/,False,10.0,8.0,1405.4878296584047,865.8971779931791,89579104.14,55188164.45,6.0,2024-06-23 22:50:18.517587
binance_us,Binance US,2019.0,United States,,https://www.binance.us/,False,10.0,9.0,58.445161760740575,58.445161760740575,3725016.41,3725016.41,5.0,2024-06-23 22:50:18.517587
bitget,Bitget,2018.0,Seychelles,,https://www.bitget.com/,False,9.0,10.0,21087.856507782555,21087.856507782555,1344039595.61,1344039595.61,6.0,2024-06-23 22:50:18.517587
huobi,HTX,2013.0,Seychelles,,https://www.huobi.com,False,9.0,11.0,27396.036100064102,14223.104845832106,1746092935.89,906513000.89,11.0,2024-06-23 22:50:18.517587
crypto_com,Crypto.com Exchange,2019.0,Malta,"Crypto.com Exchange is the best place to trade crypto, with deep liquidity, low fees and best execution prices, users can trade major cryptocurrencies like Bitcoin, Ethereum, and many more and receive great CRO-powered rewards",https://crypto.com/exchange,False,9.0,12.0,9326.013333656923,3206.858858142595,594395698.06,204389918.97,5.0,2024-06-23 22:50:18.517587
