id,name,year_established,country,description,url,has_trading_incentive,trust_score,trust_score_rank,trade_vol_24h_btc,trade_vol_24h_btc_normalized,trade_vol_24h_usd_normalized,trade_vol_24h_usd,age_of_exchange,ingested_at
bybit_spot,Bybit,2018.0,British Virgin Islands,"Bybit is a cryptocurrency exchange that offers a professional platform featuring an ultra-fast matching engine, excellent customer service and multilingual community support for crypto traders of all levels. Established in March 2018, Bybit currently serves more than 10 million users and institutions offering access to over 100 assets and contracts across Spot, Futures and Options, launchpad projects, earn products, an NFT Marketplace and more. Bybit is a proud partner of Formula One racing team, Oracle Red Bull Racing, esports teams NAVI, Astralis, Alliance, Virtus.pro, Made in Brazil (MIBR), City Esports, and Oracle Red Bull Racing Esports, and association football (soccer) teams Borussia Dortmund and Avispa Fukuoka.",https://www.bybit.com,False,10.0,1.0,69051.11315971933,44555.40831973415,2982175015.24,4621717367.32,6.0,2024-06-14 08:34:58.428855
gdax,Coinbase Exchange,2012.0,United States,,https://www.coinbase.com/,False,10.0,2.0,32189.245381240562,32189.245381240562,2154485099.69,2154485099.69,12.0,2024-06-14 08:34:58.428855
okex,OKX,2017.0,Seychelles,,https://www.okx.com,False,10.0,3.0,31836.10030317633,31836.10030317633,2130848453.36,2130848453.36,7.0,2024-06-14 08:34:58.428855
kucoin,KuCoin,2017.0,Seychelles,"Launched in September 2017, KuCoin is a global cryptocurrency exchange with its operational headquarters in Seychelles. As a user-oriented platform with a focus on inclusiveness and community action reach, it offers over 800 digital assets and currently provides Spot trading, Margin trading, P2P Fiat trading, Futures trading, Staking, and Lending to its 30 million users in more than 200 countries and regions. KuCoin is currently one of the top 5 crypto exchanges. In 2023, KuCoin was named one of the Best Crypto Exchanges by Forbes and recognized as a highly commended global exchange in Finder's 2023 Global Cryptocurrency Trading Platform Awards. Learn more at https://www.kucoin.com.",https://www.kucoin.com/,False,10.0,4.0,9832.62535444662,9832.62535444662,658115608.68,658115608.68,7.0,2024-06-14 08:34:58.428855
kraken,Kraken,2011.0,United States,,https://www.kraken.com/,False,10.0,5.0,9557.453872511502,9557.453872511502,639697877.83,639697877.83,13.0,2024-06-14 08:34:58.428855
bitfinex,Bitfinex,2012.0,British Virgin Islands,,https://www.bitfinex.com,False,10.0,6.0,1557.9313814535058,1557.9313814535058,104275198.38,104275198.38,12.0,2024-06-14 08:34:58.428855
hashkey_exchange,HashKey Exchange,2018.0,Hong Kong,"On a mission to set the bar for virtual asset exchanges in compliance, safety, and security, Hash Blockchain Limited (HashKey Exchange) is Hong Kong's first licensed virtual asset exchange for retail users. HashKey Exchange has recently received approval from the Securities and Futures Commission (SFC) of Hong Kong to operate a virtual asset trading platform under Type 1 (Dealing in securities) licence and Type 7 (Providing automated trading services) licence. As HashKey Group's exchange business, HashKey Exchange provides all-in-one trading services for both professional investors (PI) and retail investors. HashKey Exchange has obtained ISO 27001 (Information Security) and ISO 27701 (Data Privacy) management system certifications.",https://www.hashkey.com/,False,10.0,7.0,903.1231714665553,903.1231714665553,60447686.58,60447686.58,6.0,2024-06-14 08:34:58.428855
wootrade,WOO X,2019.0,Seychelles,"WOO Network is a deep liquidity network connecting traders, exchanges, institutions, and DeFi platforms with democratized access to the best-in-class liquidity and trading execution at lower or zero cost. Its flagship, WOO X, is a professional trading platform featuring customizable modules and lower to zero fees complete with deep liquidity. WOO Network was founded by Kronos Research, a quantitative trading firm generating $5-10B in daily volume.",https://woo.org/,False,10.0,8.0,266.96732363895484,266.96732363895484,17868611.52,17868611.52,5.0,2024-06-14 08:34:58.428855
binance_us,Binance US,2019.0,United States,,https://www.binance.us/,False,10.0,9.0,132.19573897359473,132.19573897359473,8848102.73,8848102.73,5.0,2024-06-14 08:34:58.428855
binance,Binance,2017.0,Cayman Islands,,https://www.binance.com/,False,9.0,10.0,223980.39296175388,108400.58295289756,7255449390.10,14991417585.05,7.0,2024-06-14 08:34:58.428855
huobi,HTX,2013.0,Seychelles,,https://www.huobi.com,False,9.0,11.0,39922.53756911681,25149.60375437473,1683309003.06,2672088497.74,11.0,2024-06-14 08:34:58.428855
bitget,Bitget,2018.0,Seychelles,,https://www.bitget.com/,False,9.0,12.0,23538.62412690966,23538.62412690966,1575483188.50,1575483188.50,6.0,2024-06-14 08:34:58.428855
gate,Gate.io,,Cayman Islands,"Gate was established in 2013, and it is the top 10 exchanges in the world in terms of authentic trading volume. It is also the first choice of over 8 million registered customers, covering 130+ countries worldwide, as we are providing the most comprehensive digital asset solutions.",https://www.gate.io/,False,9.0,13.0,43461.370051161044,23060.686353017547,1543493938.66,2908949031.83,,2024-06-14 08:34:58.428855
upbit,Upbit,2017.0,South Korea,,https://upbit.com,False,9.0,14.0,12901.358762422005,12901.358762422005,863511551.46,863511551.46,7.0,2024-06-14 08:34:58.428855
biconomy,Biconomy,2019.0,Canada,"Biсonomy is a Canadian cryptocurrency exchange founded on October 1, 2019.
The exchange has a Canadian trading license and has also recently received a US MSB license.
Biconomy only hosts high-quality projects and coins. It is also possible to buy a cryptocurrency for fiat using the AdvCash solution.",https://www.biconomy.com/,False,9.0,15.0,11283.449594483374,10809.761681473452,723517131.20,755221930.07,5.0,2024-06-14 08:34:58.428855
crypto_com,Crypto.com Exchange,2019.0,Malta,"Crypto.com Exchange is the best place to trade crypto, with deep liquidity, low fees and best execution prices, users can trade major cryptocurrencies like Bitcoin, Ethereum, and many more and receive great CRO-powered rewards",https://crypto.com/exchange,False,9.0,16.0,19487.479102021072,9084.493177379672,608041752.98,1304332638.39,5.0,2024-06-14 08:34:58.428855
bingx,BingX,2018.0,British Virgin Islands,"Founded in 2018, BingX is a leading crypto exchange, serving over 10 million users worldwide. BingX offers diversified products and services, including spot, derivatives, copy trading, and asset management – all designed for the evolving needs of users, from beginners to professionals. 

BingX is committed to providing a trustworthy platform that empowers users with innovative tools and features to elevate their trading proficiency. In 2024, BingX proudly became Chelsea FC's principal partner, marking an exciting debut in the world of sports.",https://bingx.com/,False,9.0,17.0,4985.759206604575,4985.759206604575,333705987.64,333705987.64,6.0,2024-06-14 08:34:58.428855
gemini,Gemini,2014.0,United States,,https://www.gemini.com/,False,9.0,18.0,1342.5142159303125,1342.5142159303125,89856933.27,89856933.27,10.0,2024-06-14 08:34:58.428855
exmo,EXMO,2014.0,United Kingdom,,https://exmo.com/,False,9.0,19.0,865.5396841320817,865.5396841320817,57932155.00,57932155.00,10.0,2024-06-14 08:34:58.428855
backpack_exchange,Backpack Exchange ,2023.0,British Virgin Islands,A next-gen cryptocurrency exchange. ,https://backpack.exchange/,False,9.0,20.0,719.3555761238471,719.3555761238471,48147785.13,48147785.13,1.0,2024-06-14 08:34:58.428855
bitcastle,bitcastle,2019.0,Lithuania,"bitcastle is all in one global platform including crypto trading, FX trading and binary option trading first launched in July 2019.  In May 2022, bitcastle renewed it's platform with a brand new user interface, new features and token listings. With offices in Singapore, Vietnam and Japan, bitcastle maximizes the strengths of the diverse team with various experiences to deliver the best financial services for its users.  Notable features of the platform include 0% trading fee for major currency pairs and High & Low binary trading option. bitcastle High & Low option allows users to see return on their investment in as little as 5 seconds, which is the fastest period in the world. bitcastle aims to be a platform that can be enjoyed by both seasoned traders as well as beginners.  CASTLE is bitcastle's native token. CASTLE can be used to reduce transaction fees on the platform by up to 60%. At selected intervals, 20% of bitcastle's profits will be used to buy back CASTLE tokens, and burn them.  The bitcastle apps is now available for both android and IOS, enabling users to access it's platform.",https://bitcastle.io/en,False,9.0,21.0,1211.0415835327526,235.5267760166534,15764238.13,81057229.39,5.0,2024-06-14 08:34:58.428855
coinspro,Coins.ph,,Philippines,,https://coins.ph/about,False,9.0,22.0,152.6651066896708,152.6651066896708,10218154.97,10218154.97,,2024-06-14 08:34:58.428855
luno,Luno,2013.0,Singapore,,https://www.luno.com,False,9.0,23.0,131.42519635326622,131.42519635326622,8796528.90,8796528.90,11.0,2024-06-14 08:34:58.428855
whitebit,WhiteBIT,2018.0,Lithuania,,https://whitebit.com,False,8.0,24.0,29627.03207217891,29627.03207217891,1982991474.06,1982991474.06,6.0,2024-06-14 08:34:58.428855
mxc,MEXC,2018.0,Seychelles,"Established in April 2018, MEXC is one of the world’s leading digital-asset trading platforms. The core team comes from world-class enterprises and financial companies with rich experience in blockchain and financial industries.",https://www.mexc.com/,False,8.0,25.0,32749.90891158986,20937.795933958245,1401404998.03,2192011335.79,6.0,2024-06-14 08:34:58.428855
coinw,CoinW,2017.0,United Arab Emirates,"What Is CoinW?
CoinW stands as a pinnacle in the world of crypto trading platforms, where our unwavering commitment to security, transparency, and user-centric principles sets us apart. Powered by cutting-edge technology, boasting deep liquidity, and offering support for a diverse array of cryptocurrencies, we have cultivated a vast and dedicated user base, solidifying our position as one of the most secure exchanges globally.

Dedicated to upholding the highest regulatory standards, we prioritize security, transparency, and compliance to contribute actively to the advancement of the crypto industry. At CoinW, we take pride in serving over 10 million users worldwide, earning our reputation as a beacon of security and reliability in the dynamic realm of cryptocurrency. Join us on this journey, where your assets are safeguarded, and your trading experience is elevated to new heights.

Who Are the Founders of CoinW?
Incepted in 2017 by a fusion of crypto, cybersecurity, and finance virtuosos, CoinW has established 16 Localized Trading Service Centers spanning 13 distinct countries. With a robust workforce comprising over 1,000 talents representing 30 diverse nations, CoinW stands as the quintessential embodiment of a global and professional entity.

When Did CoinW Launch?
CoinW was launched in 2017.

Where Is CoinW Located?
Based in the vibrant city of Dubai, UAE, CoinW has expanded its global presence with 16 Localized Trading Service Centers spanning 13 countries. Our reach extends to key locations such as Dubai, Singapore, Turkey, South Korea, Japan, the Philippines, Malaysia, Australia, Vietnam, India, Nigeria, Canada, and Russia. Serving customers in over 200 regions and countries, CoinW is dedicated to providing a seamless and localized trading experience.

As a forward-thinking crypto trading platform, we prioritize collaboration with international regulatory bodies and organizations, contributing to the establishment of a safe and secure environment for our users.

What Coins Are Supported on CoinW?
CoinW boasts a vast array of over 1,000 listed crypto tokens, offering more than 500 spot trading pairs. Popular coins include BTC, ETH, BGB, XRP, PEPE, DOGE, SHIB, BNB, LTC, APT and more.

How Much Are CoinW Fees?
When users conduct currency transactions on CoinW, the platform will charge users a certain fee to support the operation of the platform.User fees for makers and takers on the platform will be charged according to different rules. Currently, the basic fees for maker and takers on the platform are both 0.2%.

Is It Possible To Use Leverage or Margin Trading on CoinW?
CoinW empowers traders seeking strategic leverage through our comprehensive options for both spot and Futures trading. Our platform offers unparalleled flexibility, allowing users to utilize leverage ratios of up to 200x in Futures and 6x in ETF trading. This means that traders can amplify their positions, opening the door to potential profit maximization in crypto market.
",https://www.coinw.com/,False,7.0,26.0,15446.175993225386,13788.787404400464,922908774.46,1033840825.73,7.0,2024-06-14 08:34:58.428855
xt,XT.COM,2018.0,Seychelles,"By consistently expanding its ecosystem, XT.COM is dedicated to providing users with the most secure, trusted, and hassle-free digital asset trading services. Our exchange is built from a desire to give everyone access to digital assets regardless where you are. 

Founded in 2018, XT.COM now serves more than 6 million registered users, over 500,000+ monthly active users and 40+ million users in the ecosystem. Covering a rich variety of  trading categories together with a NFT aggregated marketplace,  our platform strives to cater to its large user base by providing a secure, trusted and intuitive trading experience.

As the world’s first social-infused digital assets trading platform, XT.COM also supports social networking platform based transactions to make our crypto services more accessible to users all over the world. Furthermore, to ensure optimal data integrity and security, we see user security as our top priority at XT.COM. ",https://www.xt.com/,False,8.0,27.0,13634.810591060754,13634.810591060754,912602824.56,912602824.56,6.0,2024-06-14 08:34:58.428855
bitmart,BitMart,2017.0,Cayman Islands,,https://www.bitmart.com/en,False,8.0,28.0,13605.8764926795,13605.8764926795,910666212.41,910666212.41,7.0,2024-06-14 08:34:58.428855
lbank,LBank,2015.0,British Virgin Islands,"LBank is a globally based centralized exchange (CEX) platform established in 2015. The platform allows users to buy and sell major crypto assets like Bitcoin (BTC) and Ethereum (ETH) in over 149 fiat currencies, with over 20 payment methods. The company has licenses from the National Futures Association, Italian Organismo degli Agenti e dei Mediatori, and money services businesses in the United States & Canada. The LBank exchange has over 9 million users and accepts clients from over 200 regions.
LBank Exchange provides its users with crypto trading, specialized financial derivatives, and professional asset management services.
 ",https://www.lbank.com,False,8.0,29.0,10030.455808629731,10030.455808629731,671356763.01,671356763.01,9.0,2024-06-14 08:34:58.428855
deepcoin,Deepcoin,2018.0,Seychelles,"Deepcoin Exchange offers groundbreaking tools for you to buy and sell over 120 cryptocurrencies. Since 2018, we have provided a secure and reliable way for you to invest in spot and futures trading to our over 1 million users.",https://www.deepcoin.com/,False,8.0,30.0,11351.537476342997,9026.205600952688,604140458.83,759779176.61,6.0,2024-06-14 08:34:58.428855
bitrue,Bitrue,2018.0,Seychelles,,https://www.bitrue.com/,False,8.0,31.0,23312.0222138927,8447.432162776004,565402093.46,1560316307.78,6.0,2024-06-14 08:34:58.428855
bitmax,AscendEX (BitMax),2018.0,Singapore,"AscendEX (formerly BitMax) is a leading global digital asset financial platform founded by a group of Wall Street quantitative trading veterans in 2018, building on core value of “Efficiency, Resilience and Transparency.” 
 
Driven by its continuous innovative product development and early-mover advantage in strategic alignment with the leading projects from DeFi ecosystem, AscendEX offers trading services across over 200 trading pairs across cash, margin, and futures products, in particular margin trading of over 50 tokens in cross-asset collateral mode and futures trading in both cross-asset and isolated margin modes.",https://ascendex.com/en/global-digital-asset-platform,False,8.0,32.0,8690.452665842968,6784.799700767972,454119060.16,581667900.45,6.0,2024-06-14 08:34:58.428855
coinstore,Coinstore,2020.0,Singapore,"Coinstore: A Global Cryptocurrency Exchange Revolutionizing Crypto Finance

Coinstore is a leading global cryptocurrency exchange that brings together a team of seasoned financial professionals and blockchain experts. With a strong presence in 175 countries and a user base of 3.3 million registered traders, Coinstore offers seamless and rapid trading services, along with derivatives, OTC, and NFT solutions.

What sets Coinstore apart is its exceptional trading speed, operating at millisecond-level precision. The platform boasts a robust server architecture, ensuring smooth and efficient transactions for users worldwide. Security is a top priority, with Coinstore implementing bank-level measures to safeguard user assets. A comprehensive risk control system and real-time reconciliation further enhance the peace of mind for traders.

Coinstore's dedication to excellence has been recognized within the industry. It has been crowned the best exchange in Asia by Crypto 306, while also earning the esteemed title of best rising star from Crypto Expo. This recognition highlights Coinstore's commitment to revolutionize the world of crypto finance.

Discover the future of cryptocurrency trading and financial innovation with Coinstore.com. Join our ever-growing community and experience the cutting-edge solutions that are reshaping the crypto landscape.

",https://www.coinstore.com/#/,False,8.0,33.0,5171.88001408904,2360.046610211913,157962238.51,346163393.88,4.0,2024-06-14 08:34:58.428855
btse,BTSE,2018.0,British Virgin Islands,"BTSE is a leading digital asset exchange that empowers users by offering a simple and secure way to trade. Its growing suite of financial services is designed to bridge traditional finance with digital assets solutions. BTSE's innovative technology offers a set of digital financial solutions featuring multi-currency spot and derivatives trading, in addition to NFT and exchange white labels, over-the-counter (OTC) trading, asset management, and payment gateways. Additionally, BTSE provides an all-in-one order book, strict security protocols, an insurance fund, cold storage for more than 99% of assets and no withdrawal limits on over 12 fiat currencies and 100 cryptocurrencies.",https://www.btse.com/,False,8.0,34.0,2186.4235838505683,2186.4235838505683,146341331.62,146341331.62,6.0,2024-06-14 08:34:58.428855
bitvavo,Bitvavo,2018.0,Netherlands,,https://bitvavo.com/en,False,8.0,35.0,1778.6982134561426,1778.6982134561426,119051526.44,119051526.44,6.0,2024-06-14 08:34:58.428855
bitstamp,Bitstamp,2011.0,Luxembourg,,https://links.bitstamp.net/c/2223866/1100037/14006,False,8.0,36.0,3485.6462609832142,1741.4028806475903,116555281.57,233300682.98,13.0,2024-06-14 08:34:58.428855
